Energy,Total,Si-s,Si-p,Si-d,C-s,C-p,C-d
-15.519623,0.032383,0.007760,0.000107,0.000000,0.008236,0.000042,0.000000
-15.490623,0.041525,0.009934,0.000152,0.000000,0.010567,0.000060,0.000000
-15.462623,0.050628,0.012090,0.000203,0.000000,0.012890,0.000080,0.000000
-15.433623,0.060591,0.014443,0.000264,0.000000,0.015434,0.000104,0.000000
-15.405623,0.070946,0.016883,0.000333,0.000000,0.018081,0.000130,0.000000
-15.376623,0.082559,0.019612,0.000415,0.000000,0.021050,0.000163,0.000000
-15.347623,0.095096,0.022551,0.000509,0.000000,0.024258,0.000200,0.000000
-15.319623,0.108119,0.025598,0.000612,0.000000,0.027593,0.000240,0.000000
-15.290623,0.122494,0.028954,0.000732,0.000000,0.031276,0.000286,0.000000
-15.261623,0.137544,0.032458,0.000863,0.000000,0.035134,0.000338,0.000000
-15.233623,0.152461,0.035922,0.001002,0.000000,0.038962,0.000392,0.000000
-15.204623,0.168089,0.039536,0.001158,0.000000,0.042978,0.000453,0.000000
-15.176623,0.183321,0.043043,0.001323,0.000000,0.046897,0.000517,0.000000
-15.147623,0.199367,0.046721,0.001509,0.000000,0.051030,0.000589,0.000000
-15.118623,0.215810,0.050475,0.001711,0.000000,0.055271,0.000667,0.000000
-15.090623,0.232141,0.054191,0.001921,0.000000,0.059488,0.000748,0.000000
-15.061623,0.249538,0.058139,0.002153,0.000000,0.063984,0.000838,0.000000
-15.032623,0.267412,0.062184,0.002399,0.000000,0.068607,0.000933,0.000000
-15.004623,0.285125,0.066183,0.002651,0.000000,0.073193,0.001030,0.000000
-14.975623,0.303937,0.070418,0.002928,0.000000,0.078068,0.001137,0.000000
-14.946623,0.323210,0.074747,0.003219,0.000000,0.083067,0.001249,0.000000
-14.918623,0.342261,0.079014,0.003516,0.000000,0.088011,0.001363,0.000000
-14.889623,0.362466,0.083528,0.003839,0.000000,0.093260,0.001487,0.000000
-14.861623,0.382465,0.087983,0.004168,0.000000,0.098461,0.001614,0.000000
-14.832623,0.403729,0.092707,0.004528,0.000000,0.103997,0.001752,0.000000
-14.803623,0.425557,0.097541,0.004908,0.000000,0.109685,0.001897,0.000000
-14.775623,0.447112,0.102300,0.005295,0.000000,0.115308,0.002045,0.000000
-14.746623,0.469810,0.107292,0.005716,0.000000,0.121238,0.002205,0.000000
-14.717623,0.492769,0.112320,0.006158,0.000000,0.127245,0.002374,0.000000
-14.689623,0.515148,0.117198,0.006604,0.000000,0.133110,0.002543,0.000000
-14.660623,0.538580,0.122285,0.007087,0.000000,0.139260,0.002726,0.000000
-14.632623,0.561497,0.127242,0.007572,0.000000,0.145283,0.002910,0.000000
-14.603623,0.585568,0.132432,0.008094,0.000000,0.151618,0.003107,0.000000
-14.574623,0.609982,0.137679,0.008636,0.000000,0.158052,0.003311,0.000000
-14.546623,0.633880,0.142797,0.009178,0.000000,0.164358,0.003515,0.000000
-14.517623,0.658962,0.148152,0.009760,0.000000,0.170985,0.003734,0.000000
-14.488623,0.684366,0.153557,0.010361,0.000000,0.177705,0.003959,0.000000
-14.460623,0.709197,0.158823,0.010961,0.000000,0.184283,0.004184,0.000000
-14.431623,0.735224,0.164325,0.011603,0.000000,0.191186,0.004423,0.000000
-14.402623,0.761585,0.169875,0.012268,0.000000,0.198189,0.004671,0.000000
-14.374623,0.787394,0.175287,0.012935,0.000000,0.205057,0.004919,0.000000
-14.345623,0.814526,0.180954,0.013651,0.000000,0.212289,0.005185,0.000000
-14.317623,0.841124,0.186489,0.014367,0.000000,0.219388,0.005450,0.000000
-14.288623,0.869085,0.192290,0.015131,0.000000,0.226862,0.005732,0.000000
-14.259623,0.897468,0.198160,0.015920,0.000000,0.234460,0.006023,0.000000
-14.231623,0.925286,0.203893,0.016705,0.000000,0.241916,0.006312,0.000000
-14.202623,0.954532,0.209902,0.017544,0.000000,0.249765,0.006619,0.000000
-14.173623,0.984214,0.215982,0.018407,0.000000,0.257744,0.006935,0.000000
-14.145623,1.013306,0.221922,0.019266,0.000000,0.265574,0.007249,0.000000
-14.116623,1.043872,0.228142,0.020182,0.000000,0.273812,0.007582,0.000000
-14.088623,1.073748,0.234199,0.021091,0.000000,0.281878,0.007913,0.000000
-14.059623,1.104995,0.240508,0.022060,0.000000,0.290330,0.008264,0.000000
-14.030623,1.136489,0.246839,0.023055,0.000000,0.298868,0.008623,0.000000
-14.002623,1.167121,0.252969,0.024042,0.000000,0.307190,0.008978,0.000000
-13.973623,1.199108,0.259342,0.025091,0.000000,0.315896,0.009354,0.000000
-13.944623,1.231385,0.265747,0.026165,0.000000,0.324698,0.009738,0.000000
-13.916623,1.262843,0.271964,0.027229,0.000000,0.333294,0.010117,0.000000
-13.887623,1.295758,0.278439,0.028360,0.000000,0.342304,0.010519,0.000000
-13.859623,1.327860,0.284725,0.029481,0.000000,0.351111,0.010915,0.000000
-13.830623,1.361442,0.291270,0.030673,0.000000,0.360346,0.011335,0.000000
-13.801623,1.395372,0.297849,0.031897,0.000000,0.369695,0.011764,0.000000
-13.773623,1.428454,0.304234,0.033110,0.000000,0.378834,0.012188,0.000000
-13.744623,1.463066,0.310880,0.034399,0.000000,0.388418,0.012636,0.000000
-13.715623,1.498040,0.317563,0.035721,0.000000,0.398122,0.013094,0.000000
-13.687623,1.532158,0.324055,0.037028,0.000000,0.407613,0.013545,0.000000
-13.658623,1.567886,0.330823,0.038414,0.000000,0.417570,0.014021,0.000000
-13.629623,1.604005,0.337635,0.039832,0.000000,0.427658,0.014505,0.000000
-13.601623,1.639257,0.344258,0.041232,0.000000,0.437528,0.014982,0.000000
-13.572623,1.676174,0.351163,0.042716,0.000000,0.447885,0.015485,0.000000
-13.544623,1.712210,0.357876,0.044180,0.000000,0.458016,0.015979,0.000000
-13.515623,1.749939,0.364874,0.045729,0.000000,0.468646,0.016499,0.000000
-13.486623,1.788074,0.371919,0.047311,0.000000,0.479414,0.017028,0.000000
-13.458623,1.825286,0.378767,0.048870,0.000000,0.489944,0.017547,0.000000
-13.429623,1.864233,0.385906,0.050519,0.000000,0.500990,0.018094,0.000000
-13.400623,1.903601,0.393092,0.052202,0.000000,0.512176,0.018649,0.000000
-13.372623,1.942017,0.400076,0.053859,0.000000,0.523114,0.019194,0.000000
-13.343623,1.982225,0.407357,0.055610,0.000000,0.534588,0.019766,0.000000
-13.315623,2.021915,0.414511,0.057357,0.000000,0.545942,0.020335,0.000000
-13.286623,2.064632,0.422169,0.059262,0.000000,0.558200,0.020951,0.000000
-13.257623,2.109133,0.430099,0.061270,0.000000,0.571005,0.021597,0.000000
-13.229623,2.153261,0.437917,0.063287,0.000000,0.583741,0.022242,0.000000
-13.200623,2.199559,0.446072,0.065427,0.000000,0.597146,0.022921,0.000000
-13.171623,2.246336,0.454264,0.067616,0.000000,0.610734,0.023610,0.000000
-13.143623,2.291948,0.462206,0.069775,0.000000,0.624024,0.024285,0.000000
-13.114623,2.339639,0.470464,0.072055,0.000000,0.637961,0.024993,0.000000
-13.085623,2.387750,0.478749,0.074378,0.000000,0.652060,0.025708,0.000000
-13.057623,2.434566,0.486768,0.076660,0.000000,0.665820,0.026406,0.000000
-13.028623,2.483387,0.495086,0.079064,0.000000,0.680217,0.027135,0.000000
-13.000623,2.530721,0.503106,0.081418,0.000000,0.694223,0.027843,0.000000
-12.971623,2.579818,0.511376,0.083884,0.000000,0.708798,0.028578,0.000000
-12.942623,2.629495,0.519689,0.086405,0.000000,0.723588,0.029324,0.000000
-12.914623,2.678761,0.527880,0.088936,0.000000,0.738304,0.030067,0.000000
-12.885623,2.731309,0.536561,0.091664,0.000000,0.754047,0.030862,0.000000
-12.856623,2.784655,0.545322,0.094459,0.000000,0.770072,0.031671,0.000000
-12.828623,2.836217,0.553744,0.097182,0.000000,0.785606,0.032452,0.000000
-12.799623,2.889533,0.562407,0.100019,0.000000,0.801717,0.033258,0.000000
-12.771623,2.940829,0.570699,0.102769,0.000000,0.817266,0.034033,0.000000
-12.742623,2.993667,0.579195,0.105623,0.000000,0.833335,0.034830,0.000000
-12.713623,3.046172,0.587594,0.108481,0.000000,0.849356,0.035620,0.000000
-12.685623,3.096614,0.595615,0.111247,0.000000,0.864800,0.036377,0.000000
-12.656623,3.148654,0.603836,0.114125,0.000000,0.880797,0.037155,0.000000
-12.627623,3.200376,0.611946,0.117011,0.000000,0.896761,0.037925,0.000000
-12.599623,3.249852,0.619645,0.119797,0.000000,0.912103,0.038657,0.000000
-12.570623,3.300544,0.627472,0.122678,0.000000,0.927892,0.039404,0.000000
-12.542623,3.348942,0.634883,0.125455,0.000000,0.943033,0.040114,0.000000
-12.513623,3.398662,0.642433,0.128335,0.000000,0.958658,0.040839,0.000000
-12.484623,3.448354,0.649916,0.131243,0.000000,0.974347,0.041562,0.000000
-12.456623,3.496682,0.657132,0.134097,0.000000,0.989677,0.042261,0.000000
-12.427623,3.547388,0.664635,0.137119,0.000000,1.005836,0.042990,0.000000
-12.398623,3.598994,0.672203,0.140222,0.000000,1.022360,0.043726,0.000000
-12.370623,3.649926,0.679607,0.143310,0.000000,1.038750,0.044445,0.000000
-12.341623,3.704083,0.687412,0.146620,0.000000,1.056261,0.045203,0.000000
-12.312623,3.760242,0.695436,0.150077,0.000000,1.074517,0.045979,0.000000
-12.284623,3.818202,0.703641,0.153667,0.000000,1.093499,0.046759,0.000000
-12.255623,3.883379,0.712778,0.157723,0.000000,1.115017,0.047604,0.000000
-12.227623,3.952007,0.722295,0.162031,0.000000,1.137816,0.048476,0.000000
-12.198623,4.029771,0.732968,0.166968,0.000000,1.163760,0.049460,0.000000
-12.169623,4.113044,0.744295,0.172305,0.000000,1.191627,0.050511,0.000000
-12.141623,4.196316,0.755535,0.177679,0.000000,1.219571,0.051559,0.000000
-12.112623,4.283795,0.767256,0.183360,0.000000,1.249016,0.052655,0.000000
-12.083623,4.372433,0.779041,0.189151,0.000000,1.278962,0.053756,0.000000
-12.055623,4.459527,0.790528,0.194873,0.000000,1.308519,0.054824,0.000000
-12.026623,4.546353,0.801852,0.200634,0.000000,1.338107,0.055882,0.000000
-11.998623,4.621631,0.811490,0.205720,0.000000,1.363873,0.056808,0.000000
-11.969623,4.693464,0.820483,0.210672,0.000000,1.388601,0.057695,0.000000
-11.940623,4.764297,0.829194,0.215630,0.000000,1.413106,0.058569,0.000000
-11.912623,4.833807,0.837627,0.220551,0.000000,1.437241,0.059428,0.000000
-11.883623,4.907119,0.846404,0.225798,0.000000,1.462784,0.060334,0.000000
-11.854623,4.981910,0.855242,0.231205,0.000000,1.488928,0.061258,0.000000
-11.826623,5.055704,0.863854,0.236591,0.000000,1.514800,0.062170,0.000000
-11.797623,5.134047,0.872885,0.242362,0.000000,1.542348,0.063138,0.000000
-11.768623,5.214783,0.882077,0.248361,0.000000,1.570829,0.064132,0.000000
-11.740623,5.295577,0.891161,0.254416,0.000000,1.599432,0.065122,0.000000
-11.711623,5.383476,0.900919,0.261055,0.000000,1.630681,0.066190,0.000000
-11.683623,5.467994,0.910151,0.267496,0.000000,1.660907,0.067195,0.000000
-11.654623,5.545946,0.918457,0.273526,0.000000,1.688974,0.068107,0.000000
-11.625623,5.616967,0.925825,0.279113,0.000000,1.714685,0.068934,0.000000
-11.597623,5.684531,0.932698,0.284489,0.000000,1.739251,0.069715,0.000000
-11.568623,5.752681,0.939494,0.289974,0.000000,1.764130,0.070500,0.000000
-11.539623,5.818888,0.945965,0.295365,0.000000,1.788397,0.071259,0.000000
-11.511623,5.881692,0.951987,0.300532,0.000000,1.811512,0.071973,0.000000
-11.482623,5.946348,0.958065,0.305902,0.000000,1.835416,0.072699,0.000000
-11.454623,6.008690,0.963805,0.311131,0.000000,1.858574,0.073389,0.000000
-11.425623,6.073215,0.969624,0.316596,0.000000,1.882652,0.074093,0.000000
-11.396623,6.137638,0.975314,0.322100,0.000000,1.906793,0.074786,0.000000
-11.368623,6.199644,0.980681,0.327444,0.000000,1.930125,0.075445,0.000000
-11.339623,6.263560,0.986101,0.333001,0.000000,1.954278,0.076116,0.000000
-11.310623,6.330956,0.991636,0.338974,0.000000,1.979805,0.076827,0.000000
-11.282623,6.399808,0.997103,0.345187,0.000000,2.005947,0.077556,0.000000
-11.253623,6.470597,1.002556,0.351641,0.000000,2.032991,0.078285,0.000000
-11.225623,6.539365,1.007671,0.357985,0.000000,2.059430,0.078973,0.000000
-11.196623,6.613779,1.013006,0.364949,0.000000,2.088174,0.079704,0.000000
-11.167623,6.692601,1.018448,0.372430,0.000000,2.118756,0.080468,0.000000
-11.139623,6.777049,1.024025,0.380563,0.000000,2.151714,0.081264,0.000000
-11.110623,6.879970,1.030464,0.390598,0.000000,2.192294,0.082173,0.000000
-11.081623,6.977961,1.036279,0.400254,0.000000,2.231302,0.082979,0.000000
-11.053623,7.058209,1.040748,0.408276,0.000000,2.263520,0.083598,0.000000
-11.024623,7.139931,1.045047,0.416554,0.000000,2.296542,0.084197,0.000000
